id	name	team	position	country	league_key	league
1427152	Omar Falah	Real Oviedo	Attacker	Spain	la_liga	LaLiga
362200	Wladimiro Falcone	Lecce	GK	Italy	serie_a	Serie A
1946515	Rodrigo Falcão	Santos FC	Keeper	Brazil	brasileirao	Serie A
1708455	Walace Falcão	Vasco da Gama	CB	Brazil	brasileirao	Serie A
1797492	Abdou Aziz Fall	Fenerbahçe	Midfielder	Senegal	super_lig	Super Lig
1816668	Valerio Farcomeni	Lazio	Midfielder	Italy	serie_a	Serie A
541556	Mohamed Fares	Lazio	LB	Algeria	serie_a	Serie A
1681803	Kauan Faria	Chapecoense AF	Defender	Brazil	brasileirao	Serie A
1086012	Ansu Fati	Monaco	CAM,LW,ST,RW	Spain	ligue_1	Ligue 1
1555492	Abdoulaye Faye	Lorient	CB	Senegal	ligue_1	Ligue 1
1518451	Mikayil Faye	Cremonese	CB	Senegal	serie_a	Serie A
1946408	Nouroudine Faye	Cremonese	Attacker	Italy	serie_a	Serie A
1107257	Souleymane Faye	Sporting CP	LW	Senegal	liga_portugal	Liga Portugal
1510384	Omar Fayed	Arouca	CB	Egypt	liga_portugal	Liga Portugal
1249993	Abbosbek Fayzullayev	Başakşehir	RW,CAM,LW	Uzbekistan	super_lig	Super Lig
1329487	Jacopo Fazzini	Fiorentina	CAM,LW,CM,LM	Italy	serie_a	Serie A
671686	Aleix Febas	Elche	CM,CDM,CAM	Spain	la_liga	LaLiga
1021302	Mattia Felici	Cagliari	LM	Italy	serie_a	Serie A
1945592	Felipe	Chapecoense AF	Defender	Brazil	brasileirao	Serie A
672840	Luiz Felipe	Rayo Vallecano	CB	Italy	la_liga	LaLiga
1803409	Luiz Felipe	Palmeiras	Keeper	Brazil	brasileirao	Serie A
535789	Marcos Felipe	Eyüpspor	GK	Brazil	super_lig	Super Lig
1644302	Pedro Felipe	Sassuolo	CB	Brazil	serie_a	Serie A
1460476	Felipinho	Athletico Paranaense	CM,CDM	Brazil	brasileirao	Serie A
1894950	Igor Felisberto	Sao Paulo	Defender	Brazil	brasileirao	Serie A
1950795	Anderson Felix	Vasco da Gama	Attacker	Brazil	brasileirao	Serie A
1185629	Fabio Moreno Fell	Mainz 05	ST	Germany	bundesliga	Bundesliga
1330848	Frank Feller	FC Heidenheim	GK	Germany	bundesliga	Bundesliga
1185609	Robin Fellhauer	Augsburg	RWB,CDM,LWB,RM	Germany	bundesliga	Bundesliga
1648615	William Feola	Hellas Verona	Defender	Italy	serie_a	Serie A
1640801	Dijar Ferati	Rio Ave	LM	Albania	liga_portugal	Liga Portugal
1068482	Evan Ferguson	Roma	ST	Ireland	serie_a	Serie A
888921	Lewis Ferguson	Bologna	CDM,CM,CAM,RM	Scotland	serie_a	Serie A
1927463	Pepê Fermino	Santos FC	Midfielder	Brazil	brasileirao	Serie A
1899336	Andrey Fernandes	Vasco da Gama	Attacker	Brazil	brasileirao	Serie A
422685	Bruno Fernandes	Manchester United	CAM,CDM	Portugal	premier_league	Premier League
406501	Daniel Heuer Fernandes	Hamburger SV	GK	Portugal	bundesliga	Bundesliga
668699	Ivanildo Fernandes	Nacional	CB	Cape Verde	liga_portugal	Liga Portugal
1160747	Joelson Fernandes	Gil Vicente	LW,LM	Portugal	liga_portugal	Liga Portugal
1404949	Martim Fernandes	FC Porto	RB,LB,CB	Portugal	liga_portugal	Liga Portugal
1356312	Mateus Fernandes	West Ham United	CM,CAM,CDM,LW	Portugal	premier_league	Premier League
789877	Matheus Fernandes	Red Bull Bragantino	CDM,CM	Brazil	brasileirao	Serie A
1927462	Murillo Fernandes	Atletico MG	Attacker	Brazil	brasileirao	Serie A
1482047	Nathan Fernandes	Botafogo RJ	ST,LM	Brazil	brasileirao	Serie A
1356327	Rafael Fernandes	Lille	CB	Portugal	ligue_1	Ligue 1
1532181	Saná Fernandes	Lazio	RM	Portugal	serie_a	Serie A
1928203	Adrian Fernandez	Real Oviedo	Defender	Spain	la_liga	LaLiga
1444231	Matias Fernandez-Pardo	Lille	ST,LW,RW,LM	Spain	ligue_1	Ligue 1
896256	Fernando	Red Bull Bragantino	ST	Brazil	brasileirao	Serie A
1570655	Luis Fernando	Santa Clara	ST	Brazil	liga_portugal	Liga Portugal
1938779	Luiz Fernando	Palmeiras	Keeper	Brazil	brasileirao	Serie A
1693412	Luiz Fernando	Corinthians	Attacker	Brazil	brasileirao	Serie A
1928493	Luiz Fernando	Mirassol	Defender	Brazil	brasileirao	Serie A
